Location,Year,rain_mm
SydneyAirport,2012,2.822686567164179
SydneyAirport,2013,3.2830860534124633
SydneyAirport,2014,2.7205479452054795
SydneyAirport,2015,3.036813186813187
SydneyAirport,2016,3.4579234972677595
SydneyAirport,2017,3.8797687861271677
Townsville,2008,5.767741935483872
Townsville,2009,5.45041095890411
Townsville,2010,5.496986301369863
Townsville,2011,4.25808383233533
Townsville,2012,3.8811940298507466
Townsville,2013,1.8741839762611276
Townsville,2014,2.8416438356164386
Townsville,2015,1.0893150684931507
Townsville,2016,2.620936639118457
Townsville,2017,3.7976878612716765
Tuggeranong,2008,3.393548387096774
Tuggeranong,2009,1.4347107438016529
Tuggeranong,2010,3.271511627906977
Tuggeranong,2011,2.6519402985074625
Tuggeranong,2012,2.482882882882883
Tuggeranong,2013,1.5317365269461078
Tuggeranong,2014,1.9019498607242338
Tuggeranong,2015,1.98021978021978
Tuggeranong,2016,2.3966666666666665
Tuggeranong,2017,1.3897142857142857
Uluru,2013,0.5770491803278689
Uluru,2014,0.7713395638629283
Uluru,2015,0.2574585635359116
Uluru,2016,1.4841225626740946
Uluru,2017,0.824
WaggaWagga,2009,0.9906849315068493
WaggaWagga,2010,2.792328767123288
WaggaWagga,2011,2.0883582089552237
WaggaWagga,2012,1.8071641791044775
WaggaWagga,2013,1.087240356083086
WaggaWagga,2014,1.3101369863013699
WaggaWagga,2015,1.7753424657534247
WaggaWagga,2016,2.147191011235955
WaggaWagga,2017,0.954248366013072
Walpole,2009,2.7925714285714287
Walpole,2010,1.8974212034383955
Walpole,2011,3.4282958199356917
Walpole,2012,2.9392712550607287
Walpole,2013,3.8990825688073394
Walpole,2014,2.4823529411764707
Walpole,2015,2.6450704225352113
Walpole,2016,3.665527065527065
Walpole,2017,2.1848837209302325
Watsonia,2009,1.663013698630137
Watsonia,2010,2.4291208791208794
Watsonia,2011,2.8507462686567164
Watsonia,2012,1.7988059701492538
Watsonia,2013,1.7311572700296736
Watsonia,2014,1.32
Watsonia,2015,1.3027472527472528
Watsonia,2016,2.001666666666667
Watsonia,2017,1.5620689655172415
Williamtown,2009,2.9752747252747254
Williamtown,2010,2.711931818181818
Williamtown,2011,4.056273764258555
Williamtown,2012,3.506513409961686
Williamtown,2013,4.301960784313725
Williamtown,2014,3.3256704980842913
Williamtown,2015,4.619580419580419
Williamtown,2016,3.4241791044776115
Williamtown,2017,4.0636363636363635
Witchcliffe,2009,2.775418994413408
Witchcliffe,2010,2.3805555555555555
Witchcliffe,2011,2.9652173913043476
Witchcliffe,2012,3.1486567164179102
Witchcliffe,2013,3.987878787878788
Witchcliffe,2014,2.756741573033708
Witchcliffe,2015,2.3298050139275763
Witchcliffe,2016,3.4331460674157306
Witchcliffe,2017,1.8852272727272728
Wollongong,2008,3.3428571428571425
Wollongong,2009,2.6391184573002753
Wollongong,2010,3.435820895522388
Wollongong,2011,3.801791044776119
Wollongong,2012,3.677710843373494
Wollongong,2013,4.284272997032641
Wollongong,2014,3.074380165289256
Wollongong,2015,4.098599439775911
Wollongong,2016,3.5134246575342467
Wollongong,2017,4.295808383233533
Woomera,2009,0.38465753424657534
Woomera,2010,0.6765840220385675
Woomera,2011,0.6733333333333333
Woomera,2012,0.3498507462686567
Woomera,2013,0.395820895522388
Woomera,2014,0.3156164383561644
Woomera,2015,0.43452054794520545
Woomera,2016,0.6495798319327731
Woomera,2017,0.5857954545454546
